source,title,date of collecting,region,seller's name,latest modified date,price,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Tipe Properti,Sertifikat,Daya Listrik,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Material Bangunan,Material Lantai,Jumlah Lantai,Hadap,Konsep dan Gaya Rumah,Pemandangan,Terjangkau Internet,Lebar Jalan,Tahun Dibangun,Hook,Kondisi Properti,Tipe Iklan,ID Iklan,Carport,Garasi,Sumber Air,facilities,Perbelanjaan,Transportasi,Kesehatan,Kamar Pembantu,Kamar Mandi Pembantu,Tahun Di Renovasi,Wisata,Others,Sekolah,Ibadah
https://www.rumah123.com/properti/jakarta-barat/hos11629823/,Jarang Ada Mini Cluster Duta Residence Duri Kepa,1/20/2024 10:10,"Duri Kepa, Jakarta Barat",Ridwan Sartono,15 Januari 2024,"Rp 1,23 Miliar",3,3,36 m²,90 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,Bata Merah,Granit,3,Selatan,Minimalis Modern,Perkotaan,Ya,2 Mobil,2022,Tidak,Baru,Dijual,hos11629823,1,,PAM atau PDAM,"Tempat Jemuran, Wastafel",,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos15457768/,Di jual rumah daan mogot baru 24x28.5 huk mezainine floor  rapi siap huni,1/20/2024 10:10,"Daan Mogot, Jakarta Barat",Sumitro  Lim,15 Januari 2024,"Rp 10,5 Miliar",6,6,399 m²,685 m²,Rumah,SHM - Sertifikat Hak Milik,10600 Watt,2,Ya,Ya,Semi Furnished,Beton,Granit,2,Selatan,Minimalis Modern,Perkotaan,Ya,2 Mobil,,Ya,Sudah Renovasi,Dijual,hos15457768,4,1,PAM atau PDAM,"Ac,  Jogging Track, Keamanan,  Taman, Tempat Jemuran, Keamanan 24 jam,  One Gate System,  Playground,  Tempat Laundry, Kitchen Set,  Pemanas Air, Wastafel, Lapangan Basket, Lapangan Bulu Tangkis,  Track Lari",,,,2,1,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos14654847/,Rumah baru tomang di jalan Kenanga 3.5 lantai jalan 2 mobil shm,1/20/2024 10:11,"Tomang, Jakarta Barat",Ignatius Irwan Hidayat ,04 Januari 2024,"Rp 2,4 Miliar",4,3,72 m²,200 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,"Batako, Beton, Bata Merah, Bata Hebel","Granit, Keramik",3,Selatan,Minimalis Modern,Pemukiman Warga,Tidak,2 Mobil,2022,Tidak,Baru,Dijual,hos14654847,1,,,"Jalur Telepon,  Keamanan, Taman, Tempat Jemuran, Akses Parkir,  CCTV, Keamanan 24 jam,  Tempat Laundry, Wastafel",,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos15982438/,"Dijual Rumah Green lake city , Uk 6x16m2 Harga 2.15 M Nego ",1/20/2024 10:12,"Green Lake City, Jakarta Barat",Julian kusmadi ,08 Januari 2024,"Rp 2,14 Miliar",3,3,96 m²,102 m²,Rumah,SHM - Sertifikat Hak Milik,10000 Watt,,Ya,Ya,Unfurnished,Bata Merah,Granit,2,Selatan,Minimalis Modern,Perkotaan,Ya,3 Mobil,2015,Tidak,Bagus,Dijual,hos15982438,2,2,PAM atau PDAM,"Keamanan, Kolam Renang,  Taman, Akses Parkir,  CCTV, Keamanan 24 jam,  One Gate System,  Playground,  Tempat Laundry, Lapangan Basket, Lapangan Bola",,,,1,1,2016,,,,
https://www.rumah123.com/properti/jakarta-barat/hos16025753/,ANA*RUMAH MURAH 3.5LT LUAS 4.3X15M LOKASI DAN BANGUNAN BAGUS HADAP SELATAN DI JELAMBAR - *GOOD-DEAL!!*,1/20/2024 10:12,"Jelambar, Jakarta Barat",ANA*PROPERTY JELAMBAR,12 Januari 2024,"Rp 1,95 Miliar",4,3,64 m²,178 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Furnished,,,4,Selatan,,,Ya,2 Mobil,2015,Tidak,Bagus,Dijual,hos16025753,1,1,PAM atau PDAM,,,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos14832245/,Rumah Intercon Termurah Intercon Kebon Jeruk Jakbar,1/20/2024 10:13,"Intercon, Jakarta Barat",Tinus Infinite,17 Januari 2024,Rp 8 Miliar,4,3,360 m²,360 m²,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,Ya,Ya,,,,2,Selatan,,,Ya,3 Mobil,,Tidak,Bagus,Dijual,hos14832245,2,2,PAM atau PDAM," Jalur Telepon,  Jogging Track, Keamanan, Taman, Tempat Jemuran, Keamanan 24 jam,  One Gate System, Track Lari",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos15085645/,Di Jual Rumah Puri Mansion 8x15 Full Furnish,1/20/2024 10:13,"Puri Mansion, Jakarta Barat",Tinus Infinite,18 Januari 2024,"Rp 3,75 Miliar",3,3,120 m²,120 m²,Rumah,HGB - Hak Guna Bangunan,4400 Watt,1,Ya,Ya,Furnished,,,2,Utara,,,Ya,3 Mobil,,Tidak,Bagus,Dijual,hos15085645,2,2,PAM atau PDAM,"Jalur Telepon,  Jogging Track,  Keamanan,  Kolam Renang, Taman, Tempat Jemuran, Lapangan Basket, Lapangan Bulu Tangkis,  Tempat Gym,  Track Lari",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10312361/,Rumah Puri Indah Siap Huni Hadap Taman 200m2,1/20/2024 10:14,"Puri Indah, Jakarta Barat",Frisca ,19 Januari 2024,"Rp 5,85 Miliar",3,3,200 m²,325 m²,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,Tidak,Tidak,Semi Furnished,,,2,Barat Daya,,,Tidak,,,Tidak,Bagus,Dijual,hos10312361,1,1,,,,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos13402438/,Rumah Minimalis Permata Buana Hoek 3 Lantai Taman Bagus Asri,1/20/2024 10:14,"Permata Buana, Jakarta Barat",Frisca ,19 Januari 2024,Rp 11 Miliar,4,4,380 m²,500 m²,Rumah,SHM - Sertifikat Hak Milik,,,Tidak,Tidak,Semi Furnished,,,3,,Minimalis,,Tidak,,,Ya,Bagus,Dijual,hos13402438,2,1,,"Jalur Telepon,  Taman, Tempat Jemuran",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos16020409/,Rumah siap huni lingkungan nyaman kalideras jakarta barat,1/20/2024 10:15,"Kalideres, Jakarta Barat",Fenny law,12 Januari 2024,"Rp 1,55 Miliar",2,1,120 m²,125 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,Batako,Keramik,1,Selatan,Minimalis,Perkotaan,Ya,2 Mobil,2020,Tidak,Bagus,Dijual,hos16020409,1,,PAM atau PDAM,"Keamanan, Taman, Tempat Jemuran, Wastafel",Pasar Laris Cengkareng,"Stasiun Kalideres, Terminal Kalideres","RS Abdul Radjak Cengkareng, RSUD Kalideres, RS Hermina Daan Mogot, Ciputra Hospital Citragarden City, Mitra Keluarga Kalideres",1,1,2022,,,Sekolah Dian Harapan Daan Mogot,
