source,title,date of collecting,region,seller's name,latest modified date,price,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Tipe Properti,Sertifikat,Daya Listrik,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Material Bangunan,Material Lantai,Jumlah Lantai,Hadap,Konsep dan Gaya Rumah,Pemandangan,Terjangkau Internet,Lebar Jalan,Tahun Dibangun,Hook,Kondisi Properti,Tipe Iklan,ID Iklan,Carport,Garasi,Sumber Air,facilities,Perbelanjaan,Transportasi,Kesehatan,Kamar Pembantu,Kamar Mandi Pembantu,Tahun Di Renovasi,Wisata,Others,Sekolah,Ibadah
https://www.rumah123.com/properti/jakarta-timur/hos14773444/,   Rumah Dijual msh Gress Dekat Aeon Mall  Dan Ikea  Jakarta Garden City Cakung,1/25/2024 14:23,"Cakung, Jakarta Timur",Lastry ,04 Januari 2024,"Rp 2,2 Miliar",3,2,84 m²,79 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Tidak,Tidak,Unfurnished,Bata Hebel,Keramik,2,,Minimalis Modern,Taman Kota,Ya,2 Mobil,2021,Tidak,Baru,Dijual,hos14773444,2,,PAM atau PDAM," CCTV,  Jalur Telepon,  Jogging Track,  Keamanan, Kolam Renang, Taman, Tempat Jemuran, Keamanan 24 jam,  One Gate System,  Playground, Tempat Gym, Track Lari",,"Stasiun Cakung, Stasiun Buaran, Stasiun Klender Baru",,,,,,Walikota Jakarta Timur,,
https://www.rumah123.com/properti/jakarta-timur/hos15002595/,RUMAH EXCLUSIVE 2 LANTAI LOKASI STRATEGIS DEKAT TOL BECAKAYU,1/25/2024 14:24,"Duren Sawit, Jakarta Timur",Erni Rahmawati,30 Desember 2023,"Rp 1,7 Miliar",3,2,118 m²,200 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,Bata Hebel,Granit,2,Timur,Modern,Pemukiman Warga,Ya,2 Mobil,2023,Tidak,Baru,Dijual,hos15002595,1,1,Sumur Pompa," Jalur Telepon,  Jogging Track,  Keamanan, Masjid, Taman, Tempat Jemuran,  Akses Parkir,  CCTV, Keamanan 24 jam,  One Gate System, Track Lari",,,,,,,,"Duren Sawit, Pondok Kopi Bekasi",,
https://www.rumah123.com/properti/jakarta-timur/hos13950698/,"Rumah semi kantor Asri di Jl. Cipinang Baru Raya, Jakarta Timur",1/25/2024 14:24,"Cipinang, Jakarta Timur",Wawan ,25 Januari 2024,"Rp 2,47 Miliar",2,2,76 m²,90 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,"Beton, Bata Merah, Bata Hebel","Granit, Keramik, Ubin",2,Barat,Minimalis Modern,Pemukiman Warga,Ya,2 Mobil,2023,Tidak,Bagus,Dijual,hos13950698,1,1,PAM atau PDAM,"Jalur Telepon, Keamanan, Tempat Jemuran, Wastafel",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos14466344/,"Mau beli rumah? Ada loh dipisangan Jaktim,rmh murah,keren,modern",1/25/2024 14:24,"Matraman, Jakarta Timur",Debora ,08 Januari 2024,Rp 828 Juta,2,2,31 m²,56 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,"Beton, Bata Hebel",Granit,2,,Minimalis Modern,Perkotaan,Ya,2 Mobil,2023,Tidak,Bagus,Dijual,hos14466344,1,,PAM atau PDAM,"Keamanan, Tempat Jemuran, Akses Parkir, Keamanan 24 jam,  One Gate System, Wastafel",Pasar Jangkrik,"Stasiun Jatinegara, Stasiun Pondok Jati",,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos14605595/,Mau punya rumah di lok.strategis? Ada loh di jl.pemuda depan UNJ,1/25/2024 14:24,"Pulo Gadung, Jakarta Timur",Debora ,12 Januari 2024,"Rp 1,32 Miliar",3,2,48 m²,67 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Tidak,Tidak,Unfurnished,"Beton, Bata Merah, Bata Hebel",Granit,2,,Minimalis Modern,Perkotaan,Tidak,1 Mobil,2023,Tidak,Baru,Dijual,hos14605595,1,,PAM atau PDAM,"Tempat Jemuran, Akses Parkir, Keamanan 24 jam,  One Gate System, Wastafel",,"Stasiun Klender, Stasiun Cipinang, Terminal Rawamangun",RS Persahabatan,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos16019840/,Rumah siap huni di second boulevard Kota Wisata,1/25/2024 14:24,"Kota Wisata, Jakarta Timur",Sicilia Gahinsa,23 Januari 2024,Rp 7 Miliar,4,3,330 m²,400 m²,Rumah,,,,Tidak,Tidak,,,,,,,,Tidak,,,Tidak,,Dijual,hos16019840,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos15749151/,Rumah Murah Hadap Jalan Raya Di Area Rawamangun,1/25/2024 14:25,"Rawamangun, Jakarta Timur",Irwan  ,11 Januari 2024,"Rp 2,35 Miliar",2,2,76 m²,90 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,Bata Hebel,Granit,2,Barat,Minimalis Modern,Taman Kota,Ya,3 Mobil,2022,Tidak,Bagus,Dijual,hos15749151,2,,PAM atau PDAM,"Taman, Tempat Jemuran, Kitchen Set, Wastafel",,,,1,,2023,,,,
https://www.rumah123.com/properti/jakarta-timur/hos15481346/,Di  rumah 2 lantai akses 2 mobil tidak banjir dekat dengan jalan raya di Jatinegara,1/25/2024 14:25,"Jatinegara, Jakarta Timur",Kartini Silalahi,15 Januari 2024,Rp 950 Juta,3,3,44 m²,68 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,Bata Hebel,Granit,2,Barat,Minimalis Modern,Perkotaan,Ya,2 Mobil,2023,Tidak,Baru,Dijual,hos15481346,1,,PAM atau PDAM,"Jalur Telepon, Tempat Jemuran,  Akses Parkir,  CCTV, Keamanan 24 jam, Masjid,  One Gate System, Wastafel",,Stasiun Matraman,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos15953731/,Rumah di Jual Dekat Pintu Tol Dan Stasiun Lrt Serta Busway,1/25/2024 14:25,"Cilangkap, Jakarta Timur",MOCH BASRI,08 Januari 2024,Rp 925 Juta,3,3,70 m²,90 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,"Beton, Bata Hebel","Granit, Keramik",2,Timur,Modern,Perkotaan,Ya,2 Mobil,2024,Ya,Bagus,Dijual,hos15953731,2,2,Sumur Bor," Jalur Telepon, Jogging Track, Masjid,  Taman, Tempat Jemuran, Wastafel, Lapangan Basket, Lapangan Bulu Tangkis,  Lapangan Voli,  Tempat Gym,  Track Lari",,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos14722723/,Rumah Siap Huni 2.5 Dekat Stasiun LRT Cawang,1/25/2024 14:26,"Cawang, Jakarta Timur",Andic ,12 Januari 2024,"Rp 1,55 Miliar",3,3,45 m²,77 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Unfurnished,Bata Hebel,Granit,3,Utara,Scandinavian,Perkotaan,Ya,2 Mobil,2023,Ya,Baru,Dijual,hos14722723,1,1,PAM atau PDAM,"Jalur Telepon, Tempat Jemuran, Keamanan 24 jam, Masjid,  One Gate System,  Taman,  Tempat Laundry, Wastafel, Track Lari",,,,,,,,,,
