source,title,date of collecting,region,seller's name,latest modified date,price,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Tipe Properti,Sertifikat,Daya Listrik,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Material Bangunan,Material Lantai,Jumlah Lantai,Hadap,Konsep dan Gaya Rumah,Pemandangan,Terjangkau Internet,Lebar Jalan,Tahun Dibangun,Hook,Kondisi Properti,Tipe Iklan,ID Iklan,Carport,Garasi,Sumber Air,facilities,Perbelanjaan,Transportasi,Kesehatan,Kamar Pembantu,Kamar Mandi Pembantu,Tahun Di Renovasi,Wisata,Others,Sekolah,Ibadah
https://www.rumah123.com/properti/jakarta-utara/hos15824194/,Dijual Cepat Rumah Pluit Timur Residence Uk 8x20 Hadap Selatan,1/15/2024 18:59,"Pluit, Jakarta Utara",Hendry Ang ,11 Januari 2024,"Rp 5,1 Miliar",3,3,160 m²,240 m²,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,Ya,Ya,Semi Furnished,,,2,Selatan,Modern,Pemukiman Warga,Ya,2 Mobil,,Tidak,Bagus,Dijual,hos15824194,2,,PAM atau PDAM,"Jalur Telepon, Tempat Jemuran",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos2202843/,"rumah besar  BGV, murah,  cluster Elite  di Kelapa Gading",1/15/2024 19:00,"Kelapa Gading, Jakarta Utara",Gree RWKG,12 Januari 2024,Rp 75 Miliar,7,,2060 m²,1150 m²,Rumah,SHM - Sertifikat Hak Milik,,1,Tidak,Tidak,,,Marmer,,Selatan,Modern,Perkotaan,Ya,3 Mobil,,Ya,,Dijual,hos2202843,3,,PAM atau PDAM,"Jalur Telepon,  Kolam Renang,  Taman, Tempat Jemuran, Akses Parkir, Keamanan 24 jam,  One Gate System,  Playground","Mall of Indonesia, Summarecon Mall Kelapa Gading",,"RS Mitra Keluarga Kelapa Gading, RS Gading Pluit",,,,,"Balai Samudera, Taman Jogging Kelapa Gading",SMAS Don Bosco 1,
https://www.rumah123.com/properti/jakarta-utara/hos15213394/,"Rumah Bagus Dimuara Karang Semi Furnished Sertifikat Hak Milik Di Muara Karang, Jakarta Utara Rumah Semi Furnished Bagus Shm - Sertifikat Hak Milik Di Muara Karang Rumah Semi Furnished Shm - Sertifikat Hak Milik Bagus di Muara Karang",1/15/2024 19:01,"Muara Karang, Jakarta Utara",Aling Ng,03 Januari 2024,"Rp 4,35 Miliar",3,3,120 m²,120 m²,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,Ya,Ya,Semi Furnished,,,2,Selatan,Minimalis Modern,,Ya,2 Mobil,2015,Tidak,Bagus,Dijual,hos15213394,1,,PAM atau PDAM," Ac, Keamanan, Taman, Tempat Jemuran,  CCTV, Keamanan 24 jam,  One Gate System",,,,1,1,2016,,,,
https://www.rumah123.com/properti/jakarta-utara/hos15972444/,Siap Terjual Rumah mewah pantai mutiara jak-ut,1/15/2024 19:02,"Pantai Mutiara, Jakarta Utara",Fifi Kwee kwee,07 Januari 2024,Rp 19 Miliar,4,2,535 m²,650 m²,Rumah,HGB - Hak Guna Bangunan,6600 Watt,1,Ya,Ya,Furnished,Bata Merah,Marmer,2,,,Pantai,Ya,,2010,Tidak,Bagus,Dijual,hos15972444,2,2,PAM atau PDAM,"Ac,  CCTV, Jalur Telepon,  Jogging Track,  Keamanan,  Taman,  Kolam Ikan, Akses Parkir, Keamanan 24 jam,  One Gate System,  Playground,  Kitchen Set,  Kompor, Kulkas,  Mesin Cuci,  Pemanas Air, Wastafel, Track Lari",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos15924238/,Rumah Mewah Luas Sunter Super Strategis 2 Lantai,1/15/2024 19:03,"Sunter, Jakarta Utara",Lina Liu ,02 Januari 2024,Rp 30 Miliar,6,5,1188 m²,750 m²,Rumah,HGB - Hak Guna Bangunan,5500 Watt,1,Ya,Ya,,,,2,,,,Ya,3 Mobil,,Tidak,Bagus,Dijual,hos15924238,4,4,PAM atau PDAM,"Jalur Telepon,  Taman, Tempat Jemuran, Akses Parkir,  CCTV, Keamanan 24 jam,  Playground,  Tempat Laundry, Track Lari",,,,2,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos12569152/,Rumah Furnish siap huni di Taman Grisenda di Taman Grisenda PIK ,1/15/2024 19:04,"Taman Grisenda, Jakarta Utara",Johan Paiman,26 Desember 2023,"Rp 3,7 Miliar",2,3,100 m²,120 m²,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,Ya,Ya,Semi Furnished,"Beton, Bata Merah","Keramik, Ubin",1,Utara,Minimalis Modern,Taman Kota,Ya,3 Mobil,2008,Tidak,Sudah Renovasi,Dijual,hos12569152,1,,PAM atau PDAM," Ac,  Jalur Telepon, Jogging Track,  Keamanan, Kolam Renang,  Taman, Tempat Jemuran, Kitchen Set, Kompor,  Pemanas Air, Lapangan Basket, Lapangan Bulu Tangkis,  Tempat Gym,  Track Lari",,,,1,1,2022,,,,
https://www.rumah123.com/properti/jakarta-utara/hos14651209/,Hadap Selatan Rumah Bgm Pik Uk 10x18,1/15/2024 19:05,"Pantai Indah Kapuk, Jakarta Utara",Hendry Ang ,11 Januari 2024,"Rp 8,5 Miliar",5,5,180 m²,325 m²,Rumah,HGB - Hak Guna Bangunan,4400 Watt,1,Ya,Ya,Unfurnished,,,2,Selatan,Minimalis Modern,Pemukiman Warga,Ya,2 Mobil,,Tidak,Bagus,Dijual,hos14651209,2,,PAM atau PDAM,Jalur Telepon,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos15773629/,Hoek Rumah Mewah Lotus Palace Pik Hadap Timur Ada Swimming Pool,1/15/2024 19:08,"Pantai Indah Kapuk, Jakarta Utara",Hendry Ang ,11 Januari 2024,Rp 80 Miliar,8,8,1130 m²,1900 m²,Rumah,SHM - Sertifikat Hak Milik,66000 Watt,1,Ya,Ya,Semi Furnished,,,3,Timur,Modern Glass House,Pemukiman Warga,Ya,2 Mobil,,Ya,Bagus,Dijual,hos15773629,2,8,PAM atau PDAM,"Jalur Telepon,  Kolam Ikan,  Kolam Renang,  Taman, Tempat Jemuran",,,,3,3,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos15948415/,Hadap Selatan Rumah Akasia Bgm Pik Ukuran 12x25,1/15/2024 19:08,"Pantai Indah Kapuk, Jakarta Utara",Hendry Ang ,11 Januari 2024,"Rp 13,8 Miliar",4,3,300 m²,600 m²,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,Ya,Ya,Semi Furnished,,,2,Selatan,Minimalis Modern,Pemukiman Warga,Ya,2 Mobil,,Tidak,Bagus,Dijual,hos15948415,2,,PAM atau PDAM,"Jalur Telepon,  Taman, Tempat Jemuran",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos15990333/,Unit Langka Rumah Bgm Pik Uk 12x25 M2 Hadap Utara,1/15/2024 19:09,"Pantai Indah Kapuk, Jakarta Utara",Hendry Ang ,12 Januari 2024,Rp 16 Miliar,5,4,300 m²,840 m²,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1,Ya,Ya,Semi Furnished,,,3,Utara,Minimalis Modern,Pemukiman Warga,Ya,2 Mobil,,Tidak,Bagus,Dijual,hos15990333,1,1,PAM atau PDAM,"Jalur Telepon, Taman",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos15493302/,"Posisi Boulevard, 300m2 Rumah 2,5 Lantai di Bgm Pik Hadap Utara",1/15/2024 19:10,"Pantai Indah Kapuk, Jakarta Utara", Cipto ,21 Desember 2023,"Rp 15,5 Miliar",4,5,300 m²,500 m²,Rumah,SHM - Sertifikat Hak Milik,11000 Watt,2,Ya,Ya,Semi Furnished,"Batako, Beton, Bata Merah, Bata Hebel","Granit, Keramik, Marmer, Ubin, Vinyl",2,Utara,Modern,Pemukiman Warga,Ya,3 Mobil,,Tidak,Bagus,Dijual,hos15493302,2,2,PAM atau PDAM," Kolam Ikan, Taman, Tempat Jemuran, Akses Parkir,  CCTV, Keamanan 24 jam,  One Gate System,  Playground,  Tempat Laundry,  AC,  Kitchen Set,  Kompor, Kulkas,  Mesin Cuci,  Pemanas Air, Wastafel, Lapangan Bola,  Lapangan Bulu Tangkis, Lapangan Tenis,  Lapangan Voli,  Tempat Gym,  Track Lari",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos15431655/,"Turun Harga Jauh Sekali Rumah Classic, Rapi, Di Layar Permai Pik",1/15/2024 19:11,"Pantai Indah Kapuk, Jakarta Utara", Cipto ,06 Januari 2024,"Rp 11,5 Miliar",4,4,290 m²,330 m²,Rumah,SHM - Sertifikat Hak Milik,6600 Watt,2,Ya,Ya,Semi Furnished,"Batako, Beton, Bata Merah, Bata Hebel","Granit, Keramik, Marmer, Ubin, Vinyl",2,Utara,Minimalis,Pemukiman Warga,Ya,3 Mobil,,Tidak,Bagus,Dijual,hos15431655,2,2,PAM atau PDAM,"Jalur Telepon,  Taman, Tempat Jemuran, Akses Parkir,  CCTV, Keamanan 24 jam,  Kolam Renang,  One Gate System,  Playground,  Tempat Laundry,  AC,  Kitchen Set,  Kompor, Kulkas,  Mesin Cuci,  Pemanas Air, Wastafel,  Lapangan Basket, Lapangan Bola,  Lapangan Bulu Tangkis, Lapangan Tenis,  Lapangan Voli,  Tempat Gym,  Track Lari",,,,1,1,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos14993963/,"Dijual Rumah Golf Island Kondisi Masih Bagus, Sudah Bisa Kpr",1/15/2024 19:12,"Pantai Indah Kapuk, Jakarta Utara", Cipto ,08 Januari 2024,"Rp 5,3 Miliar",3,3,150 m²,250 m²,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",4400 Watt,1,Ya,Ya,Unfurnished,,Granit,2,Timur,Minimalis Modern,Pemukiman Warga,Ya,3 Mobil,,Tidak,Bagus,Dijual,hos14993963,1,2,PAM atau PDAM," CCTV,  Jalur Telepon,  Jogging Track, Keamanan,  Kolam Renang, Taman, Tempat Jemuran, Akses Parkir, Keamanan 24 jam,  One Gate System,  Playground,  Tempat Laundry, Pemanas Air, Track Lari",,,,1,1,,,,,
